0000011 // 3
0010000 // <<
0001110 // 14
0000011 // 3
1010000 // -
0000011 // 3
0010000 // <<
1000000 // +
0000011 // 3
0000011 // 3
0110000 // *
1000000 // +
1100000 // =
0001100 // 12
0001011 // 11
1000000 // +
0000001 // 1
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001011 // 11
0000110 // 6
1000000 // +
0000001 // 1
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001001 // 9
0001101 // 13
1000000 // +
0000101 // 5
1000000 // +
0000011 // 3
0100000 // >>
0001001 // 9
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001011 // 11
0001011 // 11
1000000 // +
0000001 // 1
0010000 // <<
0001011 // 11
0000001 // 1
1010000 // -
0000010 // 2
0010000 // <<
1000000 // +
0000010 // 2
0000001 // 1
0110000 // *
1000000 // +
1100000 // =
0001110 // 14
0001010 // 10
1000000 // +
0000001 // 1
0010000 // <<
0001001 // 9
0000001 // 1
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001010 // 10
0000111 // 7
1000000 // +
0001010 // 10
1000000 // +
0000001 // 1
0100000 // >>
0001010 // 10
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001111 // 15
0001111 // 15
1000000 // +
0000011 // 3
0010000 // <<
0001111 // 15
0000011 // 3
1010000 // -
0000011 // 3
0010000 // <<
1000000 // +
0000011 // 3
0000011 // 3
0110000 // *
1000000 // +
1100000 // =
0001101 // 13
0000010 // 2
1010000 // -
0000011 // 3
0010000 // <<
0001101 // 13
0000011 // 3
0100000 // >>
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0000100 // 4
0001001 // 9
1000000 // +
0000011 // 3
0010000 // <<
0000100 // 4
0000011 // 3
1010000 // -
0000011 // 3
0010000 // <<
1000000 // +
0000011 // 3
0000011 // 3
0110000 // *
1000000 // +
1100000 // =
0001110 // 14
0001000 // 8
1000000 // +
0000001 // 1
0010000 // <<
0001110 // 14
0000001 // 1
1010000 // -
0000100 // 4
0010000 // <<
1000000 // +
0000100 // 4
0000001 // 1
0110000 // *
1000000 // +
1100000 // =
0001100 // 12
0001001 // 9
1000000 // +
0000011 // 3
0010000 // <<
0001101 // 13
0000011 // 3
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0000110 // 6
0000011 // 3
1010000 // -
0000100 // 4
0010000 // <<
0000110 // 6
0000100 // 4
0100000 // >>
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0000110 // 6
0001101 // 13
1000000 // +
0000001 // 1
0010000 // <<
0000100 // 4
0000001 // 1
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001001 // 9
0001110 // 14
1000000 // +
0000100 // 4
0010000 // <<
0000101 // 5
0000100 // 4
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001000 // 8
0001010 // 10
1000000 // +
0000011 // 3
1010000 // -
0000010 // 2
1010000 // -
0000010 // 2
0100000 // >>
0001010 // 10
0000100 // 4
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0001010 // 10
0000001 // 1
1010000 // -
0000010 // 2
0010000 // <<
0001010 // 10
0000010 // 2
0100000 // >>
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0000101 // 5
0001001 // 9
1000000 // +
0000001 // 1
1010000 // -
0000100 // 4
1010000 // -
0000100 // 4
0100000 // >>
0001001 // 9
0001000 // 8
1000000 // +
0000001 // 1
1010000 // -
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0000111 // 7
0001000 // 8
1000000 // +
0000011 // 3
0010000 // <<
0001011 // 11
0000011 // 3
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001100 // 12
0001100 // 12
1000000 // +
0000100 // 4
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001100 // 12
0001011 // 11
1000000 // +
0000100 // 4
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001010 // 10
0000100 // 4
1010000 // -
0000011 // 3
0010000 // <<
0001010 // 10
0000011 // 3
0100000 // >>
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0001101 // 13
0000010 // 2
1010000 // -
0000011 // 3
0010000 // <<
0001101 // 13
0000011 // 3
0100000 // >>
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0000101 // 5
0001000 // 8
1000000 // +
0000001 // 1
1010000 // -
0000010 // 2
1010000 // -
0000010 // 2
0100000 // >>
0001000 // 8
0000100 // 4
1000000 // +
0000001 // 1
1010000 // -
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0000110 // 6
0001101 // 13
1000000 // +
0000011 // 3
0010000 // <<
0001000 // 8
0000011 // 3
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001101 // 13
0000111 // 7
1000000 // +
0000001 // 1
0010000 // <<
0001101 // 13
0000001 // 1
1010000 // -
0000100 // 4
0010000 // <<
1000000 // +
0000100 // 4
0000001 // 1
0110000 // *
1000000 // +
1100000 // =
0001000 // 8
0001100 // 12
1000000 // +
0000001 // 1
0010000 // <<
0001000 // 8
0000001 // 1
1010000 // -
0000011 // 3
0010000 // <<
1000000 // +
0000011 // 3
0000001 // 1
0110000 // *
1000000 // +
1100000 // =
0001001 // 9
0001000 // 8
1000000 // +
0000001 // 1
0010000 // <<
0001001 // 9
0000001 // 1
1010000 // -
0000010 // 2
0010000 // <<
1000000 // +
0000010 // 2
0000001 // 1
0110000 // *
1000000 // +
1100000 // =
0000100 // 4
0000110 // 6
1000000 // +
0001110 // 14
1000000 // +
0000001 // 1
0100000 // >>
0000100 // 4
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001110 // 14
0001100 // 12
1000000 // +
0000010 // 2
0010000 // <<
0001110 // 14
0000010 // 2
1010000 // -
0000100 // 4
0010000 // <<
1000000 // +
0000100 // 4
0000010 // 2
0110000 // *
1000000 // +
1100000 // =
0001011 // 11
0000010 // 2
1010000 // -
0000100 // 4
0010000 // <<
0001011 // 11
0000100 // 4
0100000 // >>
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0001010 // 10
0000011 // 3
1010000 // -
0000011 // 3
0010000 // <<
0001010 // 10
0000011 // 3
0100000 // >>
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001011 // 11
0001101 // 13
1000000 // +
0000011 // 3
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001101 // 13
0001001 // 9
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001000 // 8
0001101 // 13
1000000 // +
0000100 // 4
1010000 // -
0000011 // 3
1010000 // -
0000011 // 3
0100000 // >>
0001101 // 13
0001011 // 11
1000000 // +
0000100 // 4
1010000 // -
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001101 // 13
0001001 // 9
1000000 // +
0000010 // 2
0010000 // <<
0001101 // 13
0000010 // 2
1010000 // -
0000001 // 1
0010000 // <<
1000000 // +
0000001 // 1
0000010 // 2
0110000 // *
1000000 // +
1100000 // =
0000100 // 4
0000011 // 3
1010000 // -
0000011 // 3
0010000 // <<
0000100 // 4
0000011 // 3
0100000 // >>
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001101 // 13
0000111 // 7
1000000 // +
0000100 // 4
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0000111 // 7
0000111 // 7
1000000 // +
0000100 // 4
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0000100 // 4
0000100 // 4
1010000 // -
0000010 // 2
0010000 // <<
0000100 // 4
0000010 // 2
0100000 // >>
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0001000 // 8
0001111 // 15
1000000 // +
0000100 // 4
1000000 // +
0000010 // 2
0100000 // >>
0001000 // 8
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0000101 // 5
0001000 // 8
1000000 // +
0000011 // 3
0010000 // <<
0000100 // 4
0000011 // 3
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001100 // 12
0001000 // 8
1000000 // +
0001111 // 15
1000000 // +
0000100 // 4
0100000 // >>
0001100 // 12
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0000111 // 7
0001000 // 8
1000000 // +
0000011 // 3
1010000 // -
0000100 // 4
1010000 // -
0000100 // 4
0100000 // >>
0001000 // 8
0001111 // 15
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0001110 // 14
0000001 // 1
1010000 // -
0000001 // 1
0010000 // <<
0001110 // 14
0000001 // 1
0100000 // >>
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001111 // 15
0000001 // 1
1010000 // -
0000010 // 2
0010000 // <<
0001111 // 15
0000010 // 2
0100000 // >>
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001010 // 10
0000100 // 4
1010000 // -
0000010 // 2
0010000 // <<
0001010 // 10
0000010 // 2
0100000 // >>
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0001000 // 8
0000111 // 7
1000000 // +
0000010 // 2
0010000 // <<
0001000 // 8
0000010 // 2
1010000 // -
0000100 // 4
0010000 // <<
1000000 // +
0000100 // 4
0000010 // 2
0110000 // *
1000000 // +
1100000 // =
0001001 // 9
0000001 // 1
1010000 // -
0000001 // 1
0010000 // <<
0001001 // 9
0000001 // 1
0100000 // >>
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0000100 // 4
0001111 // 15
1000000 // +
0000011 // 3
0010000 // <<
0001001 // 9
0000011 // 3
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0000111 // 7
0000101 // 5
1000000 // +
0000001 // 1
0010000 // <<
0000101 // 5
0000001 // 1
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001000 // 8
0000110 // 6
1000000 // +
0000011 // 3
0010000 // <<
0001000 // 8
0000011 // 3
1010000 // -
0000010 // 2
0010000 // <<
1000000 // +
0000010 // 2
0000011 // 3
0110000 // *
1000000 // +
1100000 // =
0001010 // 10
0000100 // 4
1000000 // +
0001000 // 8
1000000 // +
0000001 // 1
0100000 // >>
0001010 // 10
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0001010 // 10
0001000 // 8
1000000 // +
0000001 // 1
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001000 // 8
0000100 // 4
1000000 // +
0000001 // 1
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001001 // 9
0000110 // 6
1000000 // +
0000100 // 4
0010000 // <<
0000101 // 5
0000100 // 4
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001110 // 14
0001011 // 11
1000000 // +
0001010 // 10
1000000 // +
0000011 // 3
0100000 // >>
0001110 // 14
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001001 // 9
0000100 // 4
1000000 // +
0000100 // 4
1000000 // +
0000001 // 1
0100000 // >>
0001001 // 9
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001010 // 10
0001000 // 8
1000000 // +
0000010 // 2
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001000 // 8
0001100 // 12
1000000 // +
0000010 // 2
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001010 // 10
0001000 // 8
1000000 // +
0000100 // 4
0010000 // <<
0001000 // 8
0000100 // 4
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001111 // 15
0000110 // 6
1000000 // +
0000011 // 3
1010000 // -
0000011 // 3
1010000 // -
0000011 // 3
0100000 // >>
0000110 // 6
0001111 // 15
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001111 // 15
0001111 // 15
1000000 // +
0000001 // 1
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001111 // 15
0001011 // 11
1000000 // +
0000001 // 1
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001011 // 11
0001010 // 10
1000000 // +
0000010 // 2
1010000 // -
0000010 // 2
1010000 // -
0000010 // 2
0100000 // >>
0001010 // 10
0000111 // 7
1000000 // +
0000010 // 2
1010000 // -
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0001100 // 12
0001001 // 9
1000000 // +
0000100 // 4
1000000 // +
0000011 // 3
0100000 // >>
0001100 // 12
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001101 // 13
0000010 // 2
1010000 // -
0000011 // 3
0010000 // <<
0001101 // 13
0000011 // 3
0100000 // >>
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0000111 // 7
0001010 // 10
1000000 // +
0000001 // 1
0010000 // <<
0001011 // 11
0000001 // 1
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0000100 // 4
0000100 // 4
1000000 // +
0000001 // 1
0010000 // <<
0000101 // 5
0000001 // 1
1000000 // +
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0001101 // 13
0000111 // 7
1000000 // +
0000011 // 3
0010000 // <<
0001110 // 14
0000011 // 3
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0000100 // 4
0000110 // 6
1000000 // +
0000010 // 2
0010000 // <<
0000111 // 7
0000010 // 2
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001110 // 14
0000111 // 7
1000000 // +
0000101 // 5
1000000 // +
0000100 // 4
0100000 // >>
0001110 // 14
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0000101 // 5
0001010 // 10
1000000 // +
0000011 // 3
1010000 // -
0000011 // 3
1010000 // -
0000011 // 3
0100000 // >>
0001010 // 10
0000101 // 5
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001001 // 9
0000011 // 3
1010000 // -
0000001 // 1
0010000 // <<
0001001 // 9
0000001 // 1
0100000 // >>
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001000 // 8
0001010 // 10
1000000 // +
0000011 // 3
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001010 // 10
0001001 // 9
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001100 // 12
0001010 // 10
1000000 // +
0000011 // 3
0010000 // <<
0000100 // 4
0000011 // 3
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001010 // 10
0001111 // 15
1000000 // +
0001001 // 9
1000000 // +
0000100 // 4
0100000 // >>
0001010 // 10
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001001 // 9
0000110 // 6
1000000 // +
0000010 // 2
1010000 // -
0000010 // 2
1010000 // -
0000010 // 2
0100000 // >>
0000110 // 6
0000100 // 4
1000000 // +
0000010 // 2
1010000 // -
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0001111 // 15
0000100 // 4
1000000 // +
0000110 // 6
1000000 // +
0000011 // 3
0100000 // >>
0001111 // 15
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0000110 // 6
0000011 // 3
1010000 // -
0000100 // 4
0010000 // <<
0000110 // 6
0000100 // 4
0100000 // >>
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001110 // 14
0001111 // 15
1000000 // +
0000010 // 2
1010000 // -
0000100 // 4
1010000 // -
0000100 // 4
0100000 // >>
0001111 // 15
0001110 // 14
1000000 // +
0000010 // 2
1010000 // -
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0000100 // 4
0000101 // 5
1000000 // +
0000001 // 1
0010000 // <<
0000100 // 4
0000001 // 1
1010000 // -
0000010 // 2
0010000 // <<
1000000 // +
0000010 // 2
0000001 // 1
0110000 // *
1000000 // +
1100000 // =
0000100 // 4
0001011 // 11
1000000 // +
0000010 // 2
0010000 // <<
0000110 // 6
0000010 // 2
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001000 // 8
0000100 // 4
1010000 // -
0000010 // 2
0010000 // <<
0001000 // 8
0000010 // 2
0100000 // >>
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0000111 // 7
0001010 // 10
1000000 // +
0000110 // 6
1000000 // +
0000001 // 1
0100000 // >>
0000111 // 7
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0001000 // 8
0001001 // 9
1000000 // +
0001001 // 9
1000000 // +
0000100 // 4
0100000 // >>
0001000 // 8
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001010 // 10
0000111 // 7
1000000 // +
0000011 // 3
0010000 // <<
0001011 // 11
0000011 // 3
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0000110 // 6
0001110 // 14
1000000 // +
0001000 // 8
1000000 // +
0000100 // 4
0100000 // >>
0000110 // 6
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001101 // 13
0000110 // 6
1000000 // +
0001001 // 9
1000000 // +
0000100 // 4
0100000 // >>
0001101 // 13
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0000110 // 6
0000111 // 7
1000000 // +
0000110 // 6
1000000 // +
0000011 // 3
0100000 // >>
0000110 // 6
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001001 // 9
0001011 // 11
1000000 // +
0000100 // 4
0010000 // <<
0001111 // 15
0000100 // 4
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001010 // 10
0000110 // 6
1000000 // +
0000101 // 5
1000000 // +
0000100 // 4
0100000 // >>
0001010 // 10
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0000111 // 7
0001110 // 14
1000000 // +
0000011 // 3
0010000 // <<
0000111 // 7
0000011 // 3
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0000100 // 4
0001111 // 15
1000000 // +
0000100 // 4
0010000 // <<
0001001 // 9
0000100 // 4
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001111 // 15
0001001 // 9
1000000 // +
0000010 // 2
0010000 // <<
0001111 // 15
0000010 // 2
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001101 // 13
0000110 // 6
1000000 // +
0000011 // 3
0010000 // <<
0001010 // 10
0000011 // 3
1000000 // +
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0001011 // 11
0001010 // 10
1000000 // +
0000101 // 5
1000000 // +
0000010 // 2
0100000 // >>
0001011 // 11
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0001011 // 11
0001011 // 11
1000000 // +
0000100 // 4
0010000 // <<
0000111 // 7
0000100 // 4
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001110 // 14
0000101 // 5
1000000 // +
0000001 // 1
0010000 // <<
0000111 // 7
0000001 // 1
1000000 // +
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0000100 // 4
0000010 // 2
1010000 // -
0000010 // 2
0010000 // <<
0000100 // 4
0000010 // 2
0100000 // >>
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0000100 // 4
0001110 // 14
1000000 // +
0000111 // 7
1000000 // +
0000010 // 2
0100000 // >>
0000100 // 4
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001000 // 8
0001111 // 15
1000000 // +
0000011 // 3
0010000 // <<
0001010 // 10
0000011 // 3
1000000 // +
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0001010 // 10
0001110 // 14
1000000 // +
0000011 // 3
1010000 // -
0000010 // 2
1010000 // -
0000010 // 2
0100000 // >>
0001110 // 14
0001000 // 8
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0001111 // 15
0001101 // 13
1000000 // +
0001111 // 15
1000000 // +
0000011 // 3
0100000 // >>
0001111 // 15
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0000100 // 4
0001110 // 14
1000000 // +
0000111 // 7
1000000 // +
0000001 // 1
0100000 // >>
0000100 // 4
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0000111 // 7
0000100 // 4
1000000 // +
0000010 // 2
0010000 // <<
0000100 // 4
0000010 // 2
1000000 // +
0000001 // 1
0010000 // <<
1000000 // +
1100000 // =
0001011 // 11
0001100 // 12
1000000 // +
0000011 // 3
1010000 // -
0000001 // 1
1010000 // -
0000001 // 1
0100000 // >>
0001100 // 12
0001111 // 15
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0000101 // 5
0001111 // 15
1000000 // +
0000010 // 2
1010000 // -
0000010 // 2
1010000 // -
0000010 // 2
0100000 // >>
0001111 // 15
0000100 // 4
1000000 // +
0000010 // 2
1010000 // -
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0001101 // 13
0001010 // 10
1000000 // +
0001011 // 11
1000000 // +
0000010 // 2
0100000 // >>
0001101 // 13
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0000101 // 5
0001000 // 8
1000000 // +
0000011 // 3
0010000 // <<
0001100 // 12
0000011 // 3
1000000 // +
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0000110 // 6
0000011 // 3
1010000 // -
0000011 // 3
0010000 // <<
0000110 // 6
0000011 // 3
0100000 // >>
1000000 // +
0000011 // 3
1000000 // +
1100000 // =
0001001 // 9
0001011 // 11
1000000 // +
0001001 // 9
1000000 // +
0000001 // 1
0100000 // >>
0001001 // 9
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0001001 // 9
0001000 // 8
1000000 // +
0001110 // 14
1000000 // +
0000100 // 4
0100000 // >>
0001001 // 9
0000100 // 4
0010000 // <<
1000000 // +
1100000 // =
0000101 // 5
0000001 // 1
1010000 // -
0000011 // 3
0010000 // <<
0000101 // 5
0000011 // 3
0100000 // >>
1000000 // +
0000001 // 1
1000000 // +
1100000 // =
0001100 // 12
0001000 // 8
1000000 // +
0000001 // 1
0010000 // <<
0001100 // 12
0000001 // 1
1010000 // -
0000100 // 4
0010000 // <<
1000000 // +
0000100 // 4
0000001 // 1
0110000 // *
1000000 // +
1100000 // =
0001001 // 9
0001101 // 13
1000000 // +
0000001 // 1
1010000 // -
0000010 // 2
1010000 // -
0000010 // 2
0100000 // >>
0001101 // 13
0001001 // 9
1000000 // +
0000001 // 1
1010000 // -
1000000 // +
0000010 // 2
1000000 // +
1100000 // =
0001000 // 8
0001111 // 15
1000000 // +
0000010 // 2
0010000 // <<
0001000 // 8
0000010 // 2
1010000 // -
0000011 // 3
0010000 // <<
1000000 // +
0000011 // 3
0000010 // 2
0110000 // *
1000000 // +
1100000 // =
0001110 // 14
0001010 // 10
1000000 // +
0000011 // 3
1010000 // -
0000100 // 4
1010000 // -
0000100 // 4
0100000 // >>
0001010 // 10
0000110 // 6
1000000 // +
0000011 // 3
1010000 // -
1000000 // +
0000100 // 4
1000000 // +
1100000 // =
0001011 // 11
0000101 // 5
1000000 // +
0001010 // 10
1000000 // +
0000100 // 4
0100000 // >>
0001011 // 11
0000010 // 2
0010000 // <<
1000000 // +
1100000 // =
0000111 // 7
0001110 // 14
1000000 // +
0000110 // 6
1000000 // +
0000100 // 4
0100000 // >>
0000111 // 7
0000011 // 3
0010000 // <<
1000000 // +
1100000 // =
0000110 // 6
0001001 // 9
1000000 // +
0000100 // 4
1010000 // -
0000100 // 4
1010000 // -
0000100 // 4
0100000 // >>
0001001 // 9
0001100 // 12
1000000 // +
0000100 // 4
1010000 // -
